x in Angstrom	y
4901,0000	-500,0000
4902,0000	-500,0000
4903,0000	-500,0000
4904,0000	-500,0000
4905,0000	-500,0000
4906,0000	-500,0000
4907,0000	-500,0000
4908,0000	-500,0000
4909,0000	-500,0000
4910,0000	-500,0000
4911,0000	-500,0000
4912,0000	-500,0000
4913,0000	-500,0000
4914,0000	-500,0000
4915,0000	-500,0000
4916,0000	-500,0000
4917,0000	-500,0000
4918,0000	-500,0000
4919,0000	-500,0000
4920,0000	-500,0000
4921,0000	-500,0000
4922,0000	-500,0000
4923,0000	-500,0000
4924,0000	-500,0000
4925,0000	-500,0000
4926,0000	-500,0000
4927,0000	-500,0000
4928,0000	-500,0000
4929,0000	-500,0000
4930,0000	-500,0000
4931,0000	-500,0000
4932,0000	-500,0000
4933,0000	-500,0000
4934,0000	-500,0000
4935,0000	-500,0000
4936,0000	-500,0000
4937,0000	-500,0000
4938,0000	-500,0000
4939,0000	-500,0000
4940,0000	-500,0000
4941,0000	-500,0000
4942,0000	-500,0000
4943,0000	-500,0000
4944,0000	-500,0000
4945,0000	-500,0000
4946,0000	-500,0000
4947,0000	-500,0000
4948,0000	-500,0000
4949,0000	-500,0000
4950,0000	-500,0000
4951,0000	-500,0000
4952,0000	-500,0000
4953,0000	-500,0000
4954,0000	-500,0000
4955,0000	-500,0000
4956,0000	-500,0000
4957,0000	-500,0000
4958,0000	-500,0000
4959,0000	-500,0000
4960,0000	-500,0000
4961,0000	-500,0000
4962,0000	-500,0000
4963,0000	-500,0000
4964,0000	-500,0000
4965,0000	-500,0000
4966,0000	-500,0000
4967,0000	-500,0000
4968,0000	-500,0000
4969,0000	-500,0000
4970,0000	-500,0000
4971,0000	-500,0000
4972,0000	-500,0000
4973,0000	-500,0000
4974,0000	-500,0000
4975,0000	-500,0000
4976,0000	-500,0000
4977,0000	-500,0000
4978,0000	-500,0000
4979,0000	-500,0000
4980,0000	-500,0000
4981,0000	-500,0000
4982,0000	-500,0000
4983,0000	-500,0000
4984,0000	-500,0000
4985,0000	-500,0000
4986,0000	-500,0000
4987,0000	-500,0000
4988,0000	-500,0000
4989,0000	-500,0000
4990,0000	-500,0000
4991,0000	-500,0000
4992,0000	-500,0000
4993,0000	-500,0000
4994,0000	-500,0000
4995,0000	-500,0000
4996,0000	-500,0000
4997,0000	-500,0000
4998,0000	-500,0000
4999,0000	-500,0000
5000,0000	-500,0000
5001,0000	-500,0000
5002,0000	-500,0000
5003,0000	-500,0000
5004,0000	-500,0000
5005,0000	-500,0000
5006,0000	-500,0000
5007,0000	-500,0000
5008,0000	-500,0000
5009,0000	-500,0000
5010,0000	-500,0000
5011,0000	-500,0000
5012,0000	-500,0000
5013,0000	-500,0000
5014,0000	-500,0000
5015,0000	-500,0000
5016,0000	-500,0000
5017,0000	-500,0000
5018,0000	-500,0000
5019,0000	-500,0000
5020,0000	-500,0000
5021,0000	-500,0000
5022,0000	-500,0000
5023,0000	-500,0000
5024,0000	-500,0000
5025,0000	-500,0000
5026,0000	-500,0000
5027,0000	-500,0000
5028,0000	-500,0000
5029,0000	-500,0000
5030,0000	-500,0000
5031,0000	-500,0000
5032,0000	-500,0000
5033,0000	-500,0000
5034,0000	-500,0000
5035,0000	-500,0000
5036,0000	-500,0000
5037,0000	-500,0000
5038,0000	-500,0000
5039,0000	-500,0000
5040,0000	-500,0000
5041,0000	-500,0000
5042,0000	-500,0000
5043,0000	-500,0000
5044,0000	-500,0000
5045,0000	-500,0000
5046,0000	-500,0000
5047,0000	-500,0000
5048,0000	-500,0000
5049,0000	-500,0000
5050,0000	-500,0000
5051,0000	-500,0000
5052,0000	-500,0000
5053,0000	-500,0000
5054,0000	-500,0000
5055,0000	-500,0000
5056,0000	-500,0000
5057,0000	-500,0000
5058,0000	-500,0000
5059,0000	-500,0000
5060,0000	-500,0000
5061,0000	-500,0000
5062,0000	-500,0000
5063,0000	-500,0000
5064,0000	-500,0000
5065,0000	-500,0000
5066,0000	-500,0000
5067,0000	-500,0000
5068,0000	-500,0000
5069,0000	-500,0000
5070,0000	-500,0000
5071,0000	-500,0000
5072,0000	-500,0000
5073,0000	-500,0000
5074,0000	-500,0000
5075,0000	-500,0000
5076,0000	-500,0000
5077,0000	-500,0000
5078,0000	-500,0000
5079,0000	-500,0000
5080,0000	-500,0000
5081,0000	-500,0000
5082,0000	-500,0000
5083,0000	-500,0000
5084,0000	-500,0000
5085,0000	-500,0000
5086,0000	-500,0000
5087,0000	-500,0000
5088,0000	-500,0000
5089,0000	-500,0000
5090,0000	-500,0000
5091,0000	-500,0000
5092,0000	-500,0000
5093,0000	-500,0000
5094,0000	-500,0000
5095,0000	-500,0000
5096,0000	-500,0000
5097,0000	-500,0000
5098,0000	-500,0000
5099,0000	-500,0000
5100,0000	-500,0000
5101,0000	-500,0000
5102,0000	-500,0000
5103,0000	-500,0000
5104,0000	-500,0000
5105,0000	-500,0000
5106,0000	-500,0000
5107,0000	-500,0000
5108,0000	-500,0000
5109,0000	-500,0000
5110,0000	-500,0000
5111,0000	-500,0000
5112,0000	-500,0000
5113,0000	-500,0000
5114,0000	-500,0000
5115,0000	-500,0000
5116,0000	-500,0000
5117,0000	-500,0000
5118,0000	-500,0000
5119,0000	-500,0000
5120,0000	-500,0000
5121,0000	-500,0000
5122,0000	-500,0000
5123,0000	-500,0000
5124,0000	-500,0000
5125,0000	-500,0000
5126,0000	-500,0000
5127,0000	-500,0000
5128,0000	-500,0000
5129,0000	-500,0000
5130,0000	-500,0000
5131,0000	-500,0000
5132,0000	-500,0000
5133,0000	-500,0000
5134,0000	-500,0000
5135,0000	-500,0000
5136,0000	-500,0000
5137,0000	-500,0000
5138,0000	-500,0000
5139,0000	-500,0000
5140,0000	-500,0000
5141,0000	-500,0000
5142,0000	-500,0000
5143,0000	-500,0000
5144,0000	-500,0000
5145,0000	-500,0000
5146,0000	-500,0000
5147,0000	-500,0000
5148,0000	-500,0000
5149,0000	-500,0000
5150,0000	-500,0000
5151,0000	-500,0000
5152,0000	-500,0000
5153,0000	-500,0000
5154,0000	-500,0000
5155,0000	-500,0000
5156,0000	-500,0000
5157,0000	-500,0000
5158,0000	-500,0000
5159,0000	-500,0000
5160,0000	-500,0000
5161,0000	-500,0000
5162,0000	-500,0000
5163,0000	-500,0000
5164,0000	-500,0000
5165,0000	-500,0000
5166,0000	-500,0000
5167,0000	-500,0000
5168,0000	-500,0000
5169,0000	-500,0000
5170,0000	-500,0000
5171,0000	-500,0000
5172,0000	-500,0000
5173,0000	-500,0000
5174,0000	-500,0000
5175,0000	-500,0000
5176,0000	-500,0000
5177,0000	-500,0000
5178,0000	-500,0000
5179,0000	-500,0000
5180,0000	-500,0000
5181,0000	-500,0000
5182,0000	-500,0000
5183,0000	-500,0000
5184,0000	-500,0000
5185,0000	-500,0000
5186,0000	-500,0000
5187,0000	-500,0000
5188,0000	-500,0000
5189,0000	-500,0000
5190,0000	-500,0000
5191,0000	-500,0000
5192,0000	-500,0000
5193,0000	-500,0000
5194,0000	-500,0000
5195,0000	-500,0000
5196,0000	-500,0000
5197,0000	-500,0000
5198,0000	-500,0000
5199,0000	-500,0000
5200,0000	-500,0000
5201,0000	-500,0000
5202,0000	-500,0000
5203,0000	-500,0000
5204,0000	-500,0000
5205,0000	-500,0000
5206,0000	-500,0000
5207,0000	-500,0000
5208,0000	-500,0000
5209,0000	-500,0000
5210,0000	-500,0000
5211,0000	-500,0000
5212,0000	-500,0000
5213,0000	-500,0000
5214,0000	-500,0000
5215,0000	-500,0000
5216,0000	-500,0000
5217,0000	-500,0000
5218,0000	-500,0000
5219,0000	-500,0000
5220,0000	-500,0000
5221,0000	-500,0000
5222,0000	-500,0000
5223,0000	-500,0000
5224,0000	-500,0000
5225,0000	-500,0000
5226,0000	-500,0000
5227,0000	-500,0000
