x in Angstrom	y
5421,0000	-500,0000
5422,0000	-500,0000
5423,0000	-500,0000
5424,0000	-500,0000
5425,0000	-500,0000
5426,0000	-500,0000
5427,0000	-500,0000
5428,0000	-500,0000
5429,0000	-500,0000
5430,0000	-500,0000
5431,0000	-500,0000
5432,0000	-500,0000
5433,0000	-500,0000
5434,0000	-500,0000
5435,0000	-500,0000
5436,0000	-500,0000
5437,0000	-500,0000
5438,0000	-500,0000
5439,0000	-500,0000
5440,0000	-500,0000
5441,0000	-500,0000
5442,0000	-500,0000
5443,0000	-500,0000
5444,0000	-500,0000
5445,0000	-500,0000
5446,0000	-500,0000
5447,0000	-500,0000
5448,0000	-500,0000
5449,0000	-500,0000
5450,0000	-500,0000
5451,0000	-500,0000
5452,0000	-500,0000
5453,0000	-500,0000
5454,0000	-500,0000
5455,0000	-500,0000
5456,0000	-500,0000
5457,0000	-500,0000
5458,0000	-500,0000
5459,0000	-500,0000
5460,0000	-500,0000
5461,0000	-500,0000
5462,0000	-500,0000
5463,0000	-500,0000
5464,0000	-500,0000
5465,0000	-500,0000
5466,0000	-500,0000
5467,0000	-500,0000
5468,0000	-500,0000
5469,0000	-500,0000
5470,0000	-500,0000
5471,0000	-500,0000
5472,0000	-500,0000
5473,0000	-500,0000
5474,0000	-500,0000
5475,0000	-500,0000
5476,0000	-500,0000
5477,0000	-500,0000
5478,0000	-500,0000
5479,0000	-500,0000
5480,0000	-500,0000
