x in Angstrom	y
5441,0000	-500,0000
5442,0000	-500,0000
5443,0000	-500,0000
5444,0000	-500,0000
5445,0000	-500,0000
5446,0000	-500,0000
5447,0000	-500,0000
5448,0000	-500,0000
5449,0000	-500,0000
5450,0000	-500,0000
5451,0000	-500,0000
5452,0000	-500,0000
5453,0000	-500,0000
5454,0000	-500,0000
5455,0000	-500,0000
5456,0000	-500,0000
5457,0000	-500,0000
5458,0000	-500,0000
5459,0000	-500,0000
5460,0000	-500,0000
5461,0000	-500,0000
5462,0000	-500,0000
5463,0000	-500,0000
5464,0000	-500,0000
5465,0000	-500,0000
5466,0000	-500,0000
5467,0000	-500,0000
5468,0000	-500,0000
5469,0000	-500,0000
5470,0000	-500,0000
