x in Angstrom	y
5001,0000	-500,0000
5002,0000	-500,0000
5003,0000	-500,0000
5004,0000	-500,0000
5005,0000	-500,0000
5006,0000	-500,0000
5007,0000	-500,0000
5008,0000	-500,0000
5009,0000	-500,0000
5010,0000	-500,0000
5011,0000	-500,0000
5012,0000	-500,0000
5013,0000	-500,0000
5014,0000	-500,0000
5015,0000	-500,0000
5016,0000	-500,0000
5017,0000	-500,0000
5018,0000	-500,0000
5019,0000	-500,0000
5020,0000	-500,0000
5021,0000	-500,0000
5022,0000	-500,0000
5023,0000	-500,0000
5024,0000	-500,0000
5025,0000	-500,0000
5026,0000	-500,0000
5027,0000	-500,0000
5028,0000	-500,0000
5029,0000	-500,0000
5030,0000	-500,0000
5031,0000	-500,0000
5032,0000	-500,0000
5033,0000	-500,0000
5034,0000	-500,0000
5035,0000	-500,0000
5036,0000	-500,0000
5037,0000	-500,0000
5038,0000	-500,0000
5039,0000	-500,0000
5040,0000	-500,0000
5041,0000	-500,0000
5042,0000	-500,0000
5043,0000	-500,0000
5044,0000	-500,0000
5045,0000	-500,0000
5046,0000	-500,0000
5047,0000	-500,0000
5048,0000	-500,0000
5049,0000	-500,0000
5050,0000	-500,0000
5051,0000	-500,0000
5052,0000	-500,0000
5053,0000	-500,0000
5054,0000	-500,0000
5055,0000	-500,0000
5056,0000	-500,0000
5057,0000	-500,0000
5058,0000	-500,0000
5059,0000	-500,0000
5060,0000	-500,0000
5061,0000	-500,0000
5062,0000	-500,0000
5063,0000	-500,0000
5064,0000	-500,0000
5065,0000	-500,0000
5066,0000	-500,0000
5067,0000	-500,0000
5068,0000	-500,0000
5069,0000	-500,0000
5070,0000	-500,0000
5071,0000	-500,0000
5072,0000	-500,0000
5073,0000	-500,0000
5074,0000	-500,0000
5075,0000	-500,0000
5076,0000	-500,0000
5077,0000	-500,0000
5078,0000	-500,0000
5079,0000	-500,0000
5080,0000	-500,0000
5081,0000	-500,0000
5082,0000	-500,0000
5083,0000	-500,0000
5084,0000	-500,0000
5085,0000	-500,0000
5086,0000	-500,0000
5087,0000	-500,0000
5088,0000	-500,0000
5089,0000	-500,0000
5090,0000	-500,0000
5091,0000	-500,0000
5092,0000	-500,0000
5093,0000	-500,0000
5094,0000	-500,0000
5095,0000	-500,0000
5096,0000	-500,0000
5097,0000	-500,0000
5098,0000	-500,0000
5099,0000	-500,0000
5100,0000	-500,0000
5101,0000	-500,0000
5102,0000	-500,0000
5103,0000	-500,0000
5104,0000	-500,0000
5105,0000	-500,0000
5106,0000	-500,0000
5107,0000	-500,0000
5108,0000	-500,0000
5109,0000	-500,0000
5110,0000	-500,0000
5111,0000	-500,0000
5112,0000	-500,0000
5113,0000	-500,0000
5114,0000	-500,0000
5115,0000	-500,0000
5116,0000	-500,0000
5117,0000	-500,0000
5118,0000	-500,0000
5119,0000	-500,0000
5120,0000	-500,0000
5121,0000	-500,0000
5122,0000	-500,0000
5123,0000	-500,0000
5124,0000	-500,0000
5125,0000	-500,0000
5126,0000	-500,0000
5127,0000	-500,0000
5128,0000	-500,0000
5129,0000	-500,0000
5130,0000	-500,0000
5131,0000	-500,0000
5132,0000	-500,0000
5133,0000	-500,0000
5134,0000	-500,0000
5135,0000	-500,0000
5136,0000	-500,0000
5137,0000	-500,0000
5138,0000	-500,0000
5139,0000	-500,0000
5140,0000	-500,0000
5141,0000	-500,0000
5142,0000	-500,0000
5143,0000	-500,0000
5144,0000	-500,0000
5145,0000	-500,0000
5146,0000	-500,0000
5147,0000	-500,0000
5148,0000	-500,0000
5149,0000	-500,0000
5150,0000	-500,0000
5151,0000	-500,0000
5152,0000	-500,0000
5153,0000	-500,0000
5154,0000	-500,0000
5155,0000	-500,0000
5156,0000	-500,0000
5157,0000	-500,0000
5158,0000	-500,0000
5159,0000	-500,0000
5160,0000	-500,0000
5161,0000	-500,0000
5162,0000	-500,0000
5163,0000	-500,0000
5164,0000	-500,0000
5165,0000	-500,0000
5166,0000	-500,0000
5167,0000	-500,0000
5168,0000	-500,0000
5169,0000	-500,0000
5170,0000	-500,0000
5171,0000	-500,0000
5172,0000	-500,0000
5173,0000	-500,0000
5174,0000	-500,0000
5175,0000	-500,0000
5176,0000	-500,0000
5177,0000	-500,0000
5178,0000	-500,0000
5179,0000	-500,0000
5180,0000	-500,0000
5181,0000	-500,0000
5182,0000	-500,0000
5183,0000	-500,0000
5184,0000	-500,0000
5185,0000	-500,0000
5186,0000	-500,0000
5187,0000	-500,0000
5188,0000	-500,0000
5189,0000	-500,0000
5190,0000	-500,0000
5191,0000	-500,0000
5192,0000	-500,0000
5193,0000	-500,0000
5194,0000	-500,0000
5195,0000	-500,0000
5196,0000	-500,0000
5197,0000	-500,0000
5198,0000	-500,0000
5199,0000	-500,0000
5200,0000	-500,0000
5201,0000	-500,0000
5202,0000	-500,0000
5203,0000	-500,0000
5204,0000	-500,0000
5205,0000	-500,0000
5206,0000	-500,0000
5207,0000	-500,0000
5208,0000	-500,0000
5209,0000	-500,0000
5210,0000	-500,0000
5211,0000	-500,0000
5212,0000	-500,0000
5213,0000	-500,0000
5214,0000	-500,0000
5215,0000	-500,0000
5216,0000	-500,0000
5217,0000	-500,0000
5218,0000	-500,0000
5219,0000	-500,0000
5220,0000	-500,0000
5221,0000	-500,0000
5222,0000	-500,0000
5223,0000	-500,0000
5224,0000	-500,0000
5225,0000	-500,0000
5226,0000	-500,0000
5227,0000	-500,0000
5228,0000	-500,0000
5229,0000	-500,0000
5230,0000	-500,0000
5231,0000	-500,0000
5232,0000	-500,0000
5233,0000	-500,0000
5234,0000	-500,0000
5235,0000	-500,0000
5236,0000	-500,0000
5237,0000	-500,0000
5238,0000	-500,0000
5239,0000	-500,0000
5240,0000	-500,0000
5241,0000	-500,0000
5242,0000	-500,0000
5243,0000	-500,0000
5244,0000	-500,0000
5245,0000	-500,0000
5246,0000	-500,0000
5247,0000	-500,0000
5248,0000	-500,0000
5249,0000	-500,0000
5250,0000	-500,0000
5251,0000	-500,0000
5252,0000	-500,0000
5253,0000	-500,0000
5254,0000	-500,0000
5255,0000	-500,0000
5256,0000	-500,0000
5257,0000	-500,0000
5258,0000	-500,0000
5259,0000	-500,0000
5260,0000	-500,0000
5261,0000	-500,0000
5262,0000	-500,0000
5263,0000	-500,0000
5264,0000	-500,0000
5265,0000	-500,0000
5266,0000	-500,0000
5267,0000	-500,0000
5268,0000	-500,0000
5269,0000	-500,0000
5270,0000	-500,0000
5271,0000	-500,0000
5272,0000	-500,0000
5273,0000	-500,0000
5274,0000	-500,0000
5275,0000	-500,0000
5276,0000	-500,0000
5277,0000	-500,0000
5278,0000	-500,0000
5279,0000	-500,0000
5280,0000	-500,0000
5281,0000	-500,0000
5282,0000	-500,0000
5283,0000	-500,0000
5284,0000	-500,0000
5285,0000	-500,0000
5286,0000	-500,0000
5287,0000	-500,0000
5288,0000	-500,0000
5289,0000	-500,0000
5290,0000	-500,0000
5291,0000	-500,0000
5292,0000	-500,0000
5293,0000	-500,0000
5294,0000	-500,0000
5295,0000	-500,0000
5296,0000	-500,0000
5297,0000	-500,0000
5298,0000	-500,0000
5299,0000	-500,0000
5300,0000	-500,0000
5301,0000	-500,0000
5302,0000	-500,0000
5303,0000	-500,0000
5304,0000	-500,0000
5305,0000	-500,0000
5306,0000	-500,0000
5307,0000	-500,0000
5308,0000	-500,0000
5309,0000	-500,0000
5310,0000	-500,0000
5311,0000	-500,0000
5312,0000	-500,0000
5313,0000	-500,0000
5314,0000	-500,0000
5315,0000	-500,0000
5316,0000	-500,0000
5317,0000	-500,0000
5318,0000	-500,0000
5319,0000	-500,0000
5320,0000	-500,0000
5321,0000	-500,0000
5322,0000	-500,0000
5323,0000	-500,0000
5324,0000	-500,0000
5325,0000	-500,0000
5326,0000	-500,0000
5327,0000	-500,0000
5328,0000	-500,0000
5329,0000	-500,0000
5330,0000	-500,0000
5331,0000	-500,0000
5332,0000	-500,0000
5333,0000	-500,0000
5334,0000	-500,0000
5335,0000	-500,0000
5336,0000	-500,0000
5337,0000	-500,0000
5338,0000	-500,0000
5339,0000	-500,0000
5340,0000	-500,0000
5341,0000	-500,0000
5342,0000	-500,0000
5343,0000	-500,0000
5344,0000	-500,0000
5345,0000	-500,0000
5346,0000	-500,0000
5347,0000	-500,0000
5348,0000	-500,0000
5349,0000	-500,0000
5350,0000	-500,0000
5351,0000	-500,0000
5352,0000	-500,0000
5353,0000	-500,0000
5354,0000	-500,0000
5355,0000	-500,0000
5356,0000	-500,0000
5357,0000	-500,0000
5358,0000	-500,0000
5359,0000	-500,0000
5360,0000	-500,0000
5361,0000	-500,0000
5362,0000	-500,0000
5363,0000	-500,0000
5364,0000	-500,0000
5365,0000	-500,0000
5366,0000	-500,0000
5367,0000	-500,0000
5368,0000	-500,0000
5369,0000	-500,0000
5370,0000	-500,0000
5371,0000	-500,0000
5372,0000	-500,0000
5373,0000	-500,0000
5374,0000	-500,0000
5375,0000	-500,0000
5376,0000	-500,0000
5377,0000	-500,0000
5378,0000	-500,0000
5379,0000	-500,0000
5380,0000	-500,0000
5381,0000	-500,0000
5382,0000	-500,0000
5383,0000	-500,0000
5384,0000	-500,0000
5385,0000	-500,0000
5386,0000	-500,0000
5387,0000	-500,0000
5388,0000	-500,0000
5389,0000	-500,0000
5390,0000	-500,0000
5391,0000	-500,0000
5392,0000	-500,0000
5393,0000	-500,0000
5394,0000	-500,0000
5395,0000	-500,0000
5396,0000	-500,0000
5397,0000	-500,0000
5398,0000	-500,0000
5399,0000	-500,0000
5400,0000	-500,0000
5401,0000	-500,0000
5402,0000	-500,0000
5403,0000	-500,0000
5404,0000	-500,0000
5405,0000	-500,0000
5406,0000	-500,0000
5407,0000	-500,0000
5408,0000	-500,0000
5409,0000	-500,0000
5410,0000	-500,0000
5411,0000	-500,0000
5412,0000	-500,0000
5413,0000	-500,0000
5414,0000	-500,0000
5415,0000	-500,0000
5416,0000	-500,0000
5417,0000	-500,0000
5418,0000	-500,0000
