x in Angstrom	y
3901,0000	-500,0000
3902,0000	-500,0000
3903,0000	-500,0000
3904,0000	-500,0000
3905,0000	-500,0000
3906,0000	-500,0000
3907,0000	-500,0000
3908,0000	-500,0000
3909,0000	-500,0000
3910,0000	-500,0000
3911,0000	-500,0000
3912,0000	-500,0000
3913,0000	-500,0000
3914,0000	-500,0000
3915,0000	-500,0000
3916,0000	-500,0000
3917,0000	-500,0000
3918,0000	-500,0000
3919,0000	-500,0000
3920,0000	-500,0000
3921,0000	-500,0000
3922,0000	-500,0000
3923,0000	-500,0000
3924,0000	-500,0000
3925,0000	-500,0000
3926,0000	-500,0000
3927,0000	-500,0000
3928,0000	-500,0000
3929,0000	-500,0000
3930,0000	-500,0000
3931,0000	-500,0000
3932,0000	-500,0000
3933,0000	-500,0000
3934,0000	-500,0000
3935,0000	-500,0000
3936,0000	-500,0000
3937,0000	-500,0000
3938,0000	-500,0000
3939,0000	-500,0000
3940,0000	-500,0000
3941,0000	-500,0000
3942,0000	-500,0000
3943,0000	-500,0000
3944,0000	-500,0000
3945,0000	-500,0000
3946,0000	-500,0000
3947,0000	-500,0000
3948,0000	-500,0000
3949,0000	-500,0000
3950,0000	-500,0000
3951,0000	-500,0000
3952,0000	-500,0000
3953,0000	-500,0000
3954,0000	-500,0000
3955,0000	-500,0000
3956,0000	-500,0000
3957,0000	-500,0000
3958,0000	-500,0000
3959,0000	-500,0000
3960,0000	-500,0000
3961,0000	-500,0000
3962,0000	-500,0000
3963,0000	-500,0000
3964,0000	-500,0000
3965,0000	-500,0000
3966,0000	-500,0000
3967,0000	-500,0000
3968,0000	-500,0000
3969,0000	-500,0000
3970,0000	-500,0000
3971,0000	-500,0000
3972,0000	-500,0000
3973,0000	-500,0000
3974,0000	-500,0000
3975,0000	-500,0000
3976,0000	-500,0000
3977,0000	-500,0000
3978,0000	-500,0000
3979,0000	-500,0000
3980,0000	-500,0000
3981,0000	-500,0000
3982,0000	-500,0000
3983,0000	-500,0000
3984,0000	-500,0000
3985,0000	-500,0000
3986,0000	-500,0000
3987,0000	-500,0000
3988,0000	-500,0000
3989,0000	-500,0000
3990,0000	-500,0000
3991,0000	-500,0000
3992,0000	-500,0000
3993,0000	-500,0000
3994,0000	-500,0000
3995,0000	-500,0000
3996,0000	-500,0000
3997,0000	-500,0000
3998,0000	-500,0000
3999,0000	-500,0000
4000,0000	-500,0000
4001,0000	-500,0000
4002,0000	-500,0000
4003,0000	-500,0000
4004,0000	-500,0000
4005,0000	-500,0000
4006,0000	-500,0000
4007,0000	-500,0000
4008,0000	-500,0000
4009,0000	-500,0000
4010,0000	-500,0000
4011,0000	-500,0000
4012,0000	-500,0000
4013,0000	-500,0000
4014,0000	-500,0000
4015,0000	-500,0000
4016,0000	-500,0000
4017,0000	-500,0000
4018,0000	-500,0000
4019,0000	-500,0000
4020,0000	-500,0000
4021,0000	-500,0000
4022,0000	-500,0000
4023,0000	-500,0000
4024,0000	-500,0000
4025,0000	-500,0000
4026,0000	-500,0000
4027,0000	-500,0000
4028,0000	-500,0000
4029,0000	-500,0000
4030,0000	-500,0000
4031,0000	-500,0000
4032,0000	-500,0000
4033,0000	-500,0000
4034,0000	-500,0000
4035,0000	-500,0000
4036,0000	-500,0000
4037,0000	-500,0000
4038,0000	-500,0000
4039,0000	-500,0000
4040,0000	-500,0000
4041,0000	-500,0000
4042,0000	-500,0000
4043,0000	-500,0000
4044,0000	-500,0000
4045,0000	-500,0000
4046,0000	-500,0000
4047,0000	-500,0000
4048,0000	-500,0000
4049,0000	-500,0000
4050,0000	-500,0000
4051,0000	-500,0000
4052,0000	-500,0000
4053,0000	-500,0000
4054,0000	-500,0000
4055,0000	-500,0000
4056,0000	-500,0000
4057,0000	-500,0000
4058,0000	-500,0000
4059,0000	-500,0000
4060,0000	-500,0000
4061,0000	-500,0000
4062,0000	-500,0000
4063,0000	-500,0000
4064,0000	-500,0000
4065,0000	-500,0000
4066,0000	-500,0000
4067,0000	-500,0000
4068,0000	-500,0000
4069,0000	-500,0000
4070,0000	-500,0000
4071,0000	-500,0000
4072,0000	-500,0000
4073,0000	-500,0000
4074,0000	-500,0000
4075,0000	-500,0000
4076,0000	-500,0000
4077,0000	-500,0000
4078,0000	-500,0000
4079,0000	-500,0000
4080,0000	-500,0000
4081,0000	-500,0000
4082,0000	-500,0000
4083,0000	-500,0000
4084,0000	-500,0000
4085,0000	-500,0000
4086,0000	-500,0000
4087,0000	-500,0000
4088,0000	-500,0000
4089,0000	-500,0000
4090,0000	-500,0000
4091,0000	-500,0000
4092,0000	-500,0000
4093,0000	-500,0000
4094,0000	-500,0000
4095,0000	-500,0000
4096,0000	-500,0000
4097,0000	-500,0000
4098,0000	-500,0000
4099,0000	-500,0000
4100,0000	-500,0000
4101,0000	-500,0000
4102,0000	-500,0000
4103,0000	-500,0000
4104,0000	-500,0000
4105,0000	-500,0000
4106,0000	-500,0000
4107,0000	-500,0000
4108,0000	-500,0000
4109,0000	-500,0000
4110,0000	-500,0000
4111,0000	-500,0000
4112,0000	-500,0000
4113,0000	-500,0000
4114,0000	-500,0000
4115,0000	-500,0000
4116,0000	-500,0000
4117,0000	-500,0000
4118,0000	-500,0000
4119,0000	-500,0000
4120,0000	-500,0000
4121,0000	-500,0000
4122,0000	-500,0000
4123,0000	-500,0000
4124,0000	-500,0000
4125,0000	-500,0000
4126,0000	-500,0000
4127,0000	-500,0000
4128,0000	-500,0000
4129,0000	-500,0000
4130,0000	-500,0000
4131,0000	-500,0000
4132,0000	-500,0000
4133,0000	-500,0000
4134,0000	-500,0000
4135,0000	-500,0000
4136,0000	-500,0000
4137,0000	-500,0000
4138,0000	-500,0000
4139,0000	-500,0000
4140,0000	-500,0000
4141,0000	-500,0000
4142,0000	-500,0000
4143,0000	-500,0000
4144,0000	-500,0000
4145,0000	-500,0000
